VANID	AGE	PCT_C	PCT_P	PCT_J	PCT_M	FN_HISP	LN_HISP	FL_HISP	BG_SEG	PCT_SD2	PCT_LD2	REG_DAYS	CD1	CD2	CD3	CD4	CD5	CD6	CD7	CD8	CD9	CD10	VF1	VF2	VF3	VF4	VF5	VF6	VF7	VF8	VF9	VF10	VF11	VF12	VF13	VF14	VF15	VF16	VF17	VF18	VF19	VF20	VF21	VF22	VF23	VF24	VF25	VF26	VF27	VF28	VF29	VF30	VF31	VF32	VF33	VF34	VF35	VF36	VF37	VF38	VF39	VF40	VF41	VF42	VF43	VF44	VF45	VF46	VF47	VF48	VF49	VF50	GPELIG	PPELIG	MPELIG	EPELIG	C04	C06	PP08D	PP08R	set_no	set_no2	dv	pv	gd_Aw	gd_2w	sd_Aw	sd_2w	pad	pmd	pff	rbe	rbw	hrbe	hrbm	hrbl	lpsd2	lpld2	v08	sd2_sc1	sd2_Sc2	sd2_sc3	v08_Score
1	30	0	0	0	0	15.3	0	15.3	16.2	77.6	60.8	4763	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	50	0	40	28.6	0	0	0	0	2	10	N	Y	N	 	N	 	 	 	Y	N	N	 	 	 	 	N	Y	91.5	90	90.8	83
1	86	0	0	0	0	4.1	.2	2.2	16.2	77.6	60.8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	100	62.5	80	81	0	0	0	1	2	72	N	Y	N	N	N	N	 	N	N	N	N	N	Y	N	N	N	Y	77.1	77.5	77.3	99
1	29	0	0	0	0	15.3	.7	8	32.3	67.2	55.2	3048	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	33.3	6.7	0	0	0	0	2	11	N	N	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	89.7	74.9	82.3	76
1	49	0	0	0	0	1	0	1	36.4	86.2	69.1	3018	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	100	83.3	66.7	86.7	0	0	0	0	1	65	N	N	 	 	 	 	 	 	 	 	 	N	Y	N	 	 	Y	86.4	90.9	88.6	83
1	50	0	0	0	0	2.5	.6	1.6	10.4	60	44.7	8112	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	75	25	20	42.9	0	0	0	0	2	44	N	N	 	 	 	 	 	 	 	 	 	Y	N	N	 	 	N	63.2	63.3	63.2	70
1	72	0	0	0	0	8	0	8	43.1	84.4	75.6	4825	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	12.5	20	9.5	0	0	0	0	2	9	N	N	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	95.1	84.9	90	85
1	75	0	16.4	0	0	3.3	0	3.3	9.4	70.8	64.2	6716	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	100	50	40	66.7	0	0	0	1	1	85	N	Y	 	 	 	 	 	 	 	 	 	N	N	Y	 	N	Y	56.3	54.1	55.2	99
1	43	0	0	0	0	5.2	.3	2.8	25.5	78	57.9	5585	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	87.5	25	40	52.4	0	0	1	0	1	19	N	Y	Y	Y	Y	Y	 	Y	N	N	N	 	 	 	 	 	Y	80.3	77.8	79.1	97
1	72	0	0	0	0	1.9	0	1.9	12.5	79.6	63.6	8402	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	87.5	62.5	80	76.2	0	0	0	0	1	6	N	Y	N	N	N	N	 	N	N	N	Y	N	N	Y	 	N	Y	66	69.1	67.6	95
1	60	0	0	0	0	6.3	0	6.3	8.6	73.2	58.6	5152	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	12.5	0	0	4.8	0	0	0	0	2	32	N	Y	N	N	N	 	 	 	Y	N	Y	 	 	 	Y	Y	N	88.4	84.9	86.6	89
